Date,RIC,Price Target - Mean,Recommendation - Mean (1-5),Revenue - Mean
2022-04-27,BYG.L,1599.625,,
2022-04-27,DRX.L,,,5656730000
2022-04-27,EQNR.OL,,,126579663210
2022-04-27,INWT.MI,12.2175,,857030600
2022-04-27,KYGa.I,,,7723080000
2022-04-27,MBGn.DE,88.95833,1.7931,140438951170
2022-04-27,NSISb.CO,458.33333,3.09524,2221382010
2022-04-27,OREP.PA,,2.63333,
2022-04-27,PLUSP.L,1975.0,2.0,631650000
2022-04-27,RAND.AS,63.53125,,26894250500
2022-04-27,SASY.PA,,,41158143520
2022-04-27,TKAG.DE,12.49667,,36619335590
2022-04-27,TPRO.MI,8.0,2.5,458200000
2022-04-27,VOWG_p.DE,234.82609,,265377468300
2022-04-27,WALLb.ST,63.5,,2509714290
2022-04-27,MBGn.DE,,1.7931,
2022-04-27,NSISb.CO,,3.09524,
2022-04-27,PLUSP.L,,2.0,
2022-04-27,TKAG.DE,12.49667,,
2022-04-27,TPRO.MI,8.0,2.5,
2022-04-27,VOWG_p.DE,234.82609,,
2022-04-27,WALLb.ST,,,2509714290
2022-04-27,TPRO.MI,,2.5,
2022-04-28,HLMA.L,,,1496842940
2022-04-28,INPST.AS,10.50909,2.09091,
2022-04-28,RAND.AS,62.90625,,
2022-04-28,WISEa.L,,,552076500
2022-04-28,INPST.AS,,2.09091,
2022-04-28,AAK.ST,207.88889,,45914576250
2022-04-28,BAWG.VI,66.2875,,1284713140
2022-04-28,DRX.L,815.75,,5660970440
2022-04-28,EXHO.PA,89.465,,
2022-04-28,GALP.LS,12.97778,,
2022-04-28,HLMA.L,2845.0,,1496842940
2022-04-28,ICAG.L,179.40679,,20474113500
