Date,RIC,Currency,Price to Earning
2026-04-07,SOPR.PA,EUR,8.06350505123823
2026-04-07,SPX.L,GBp,30.3574432104883
2026-04-07,SUN.S,CHF,18.9605240254256
2026-04-07,UNPI.MI,EUR,9.98088971673238
2026-04-07,VACN.S,CHF,67.3867275862841
2026-04-07,VNAn.DE,EUR,5.0859603837778
2026-04-07,WIHL.ST,SEK,11.9647206916273
2026-04-07,ZALG.DE,EUR,25.4411874208841
2026-04-08,ABNd.AS,EUR,11.8351644316796
2026-04-08,ACLN.S,CHF,40.3162085770299
2026-04-08,AIRP.PA,EUR,30.076322110458
2026-04-08,AKZO.AS,EUR,14.2514028810588
2026-04-08,ALEP.WA,PLN,16.5527902303293
2026-04-08,AMBUb.CO,DKK,32.1389262565733
2026-04-08,ANA.MC,EUR,15.9432069048333
2026-04-08,ANDR.VI,EUR,13.7279583427471
2026-04-08,ARGX.BR,EUR,39.9665128808347
2026-04-08,BARC.L,GBp,10.3271039105616
2026-04-08,BC8G.DE,EUR,16.7002907983487
2026-04-08,BCP.LS,EUR,10.7426679280984
2026-04-08,BMEB.L,GBp,7.47082340588782
2026-04-08,BTRW.L,GBp,18.2893477369069
2026-04-08,CAST.ST,SEK,61.0335789733543
2026-04-08,CRDA.L,GBp,67.6071573443908
2026-04-08,CTEC.L,GBp,35.0551882498851
2026-04-08,DLG.MI,EUR,15.8653390232338
2026-04-08,ERST.VI,EUR,12.1683605623677
2026-04-08,ESSITYb.ST,SEK,13.5925110000267
2026-04-08,EZJ.L,GBp,6.31113966749659
2026-04-08,FRAG.DE,EUR,17.3559435273359
2026-04-08,GBFG.DE,EUR,23.6351297592025
2026-04-08,GRLS.MC,EUR,16.0421446172147
2026-04-08,INCH.L,GBp,11.2988692785914
2026-04-08,JMAT.L,GBp,
2026-04-08,KSP.I,EUR,21.19970173462
2026-04-08,LEGD.PA,EUR,31.7482897306245
2026-04-08,LIFCOb.ST,SEK,36.1143554562939
2026-04-08,METSO.HE,EUR,27.6652825481451
2026-04-08,MICCT.AS,EUR,26.4461077216597
2026-04-08,MKS.L,GBp,389.358288770054
2026-04-08,NEKG.DE,EUR,34.6825417917985
2026-04-08,PERP.PA,EUR,11.5096059021059
2026-04-08,QQ.L,GBp,
2026-04-08,RENA.PA,EUR,
2026-04-08,REY.MI,EUR,12.1988003274806
2026-04-08,SABE.MC,EUR,13.4474532289792
2026-04-08,SAND.ST,SEK,33.6012835639061
2026-04-08,SAVE.ST,SEK,27.0770647108
2026-04-08,SIKA.S,CHF,20.9594926664842
2026-04-08,SKAb.ST,SEK,18.2655366000683
2026-04-08,SOPR.PA,EUR,8.25486482741328
2026-04-08,SPX.L,GBp,32.9213243082294
2026-04-08,SUN.S,CHF,19.9301626539593
2026-04-08,UNPI.MI,EUR,10.2856866397349
2026-04-08,VACN.S,CHF,72.6500033595377
2026-04-08,VNAn.DE,EUR,5.39673042090787
2026-04-08,WIHL.ST,SEK,12.0824291706537
2026-04-08,ZALG.DE,EUR,27.1289930253915
2026-04-09,ABNd.AS,EUR,11.7821285345366
2026-04-09,ACLN.S,CHF,40.7711003913047
2026-04-09,AIRP.PA,EUR,30.6895223104859
2026-04-09,AKZO.AS,EUR,14.1524729728987
2026-04-09,ALEP.WA,PLN,16.6950069562529
2026-04-09,AMBUb.CO,DKK,31.4785373608903
2026-04-09,ANA.MC,EUR,16.0788937721085
2026-04-09,ANDR.VI,EUR,14.2874049209782
2026-04-09,ARGX.BR,EUR,40.4524187630692
2026-04-09,BARC.L,GBp,10.2667045642957
2026-04-09,BC8G.DE,EUR,15.963674943517
2026-04-09,BCP.LS,EUR,10.7615894039735
2026-04-09,BMEB.L,GBp,7.39005774744579
2026-04-09,BTRW.L,GBp,17.9269793518392
2026-04-09,CAST.ST,SEK,61.8739724876173
2026-04-09,CRDA.L,GBp,65.5113354667148
2026-04-09,CTEC.L,GBp,35.0369490905872
2026-04-09,DLG.MI,EUR,15.846372688478
2026-04-09,ERST.VI,EUR,12.0287037295661
2026-04-09,ESSITYb.ST,SEK,13.5925110000267
2026-04-09,EZJ.L,GBp,6.14890370251386
2026-04-09,FRAG.DE,EUR,17.1418048039881
2026-04-09,GBFG.DE,EUR,23.1671073877331
2026-04-09,GRLS.MC,EUR,15.0904919704308
2026-04-09,INCH.L,GBp,10.9734217882922
2026-04-09,JMAT.L,GBp,
2026-04-09,KSP.I,EUR,20.5601728632932
2026-04-09,LEGD.PA,EUR,31.4634349937608
2026-04-09,LIFCOb.ST,SEK,35.8892659832283
2026-04-09,METSO.HE,EUR,27.2893491225372
2026-04-09,MICCT.AS,EUR,25.8926137912238
2026-04-09,MKS.L,GBp,393.262032085562
2026-04-09,NEKG.DE,EUR,32.715868923911
2026-04-09,PERP.PA,EUR,11.5238725347705
2026-04-09,QQ.L,GBp,
2026-04-09,RENA.PA,EUR,
2026-04-09,REY.MI,EUR,11.7827632882973
2026-04-09,SABE.MC,EUR,13.5269744276566
