Date,RIC,Earnings Per Share - Mean
2020-08-06,PIRC.MI,0.199
2020-08-07,PIRC.MI,0.19633
2020-08-07,VATN.S,7.22475
2020-08-10,VATN.S,7.21225
2020-08-11,HOCM.L,0.088
2020-08-12,HOCM.L,0.08467
2020-08-19,HOCM.L,0.08578
2020-08-20,HOCM.L,0.076
2020-08-25,HOCM.L,0.08156
2020-08-26,VATN.S,7.29225
2020-09-02,PIRC.MI,0.199
2020-09-07,PIRC.MI,0.19993
2020-09-08,HOCM.L,0.07044
2020-09-11,HOCM.L,0.076
2020-09-15,HOCM.L,0.07267
2020-09-20,PIRC.MI,0.19454
2020-09-21,HOCM.L,0.06822
2020-09-22,PIRC.MI,0.19993
2020-09-24,HOCM.L,0.05933
2020-09-25,PIRC.MI,0.1985
2020-10-01,HOCM.L,0.05811
2020-10-06,HOCM.L,0.06478
2020-10-07,HOCM.L,0.07478
2020-10-08,PIRC.MI,0.19207
2020-10-12,HOCM.L,0.07589
2020-10-13,HOCM.L,0.08478
2020-10-14,PIRC.MI,0.19136
2020-10-16,PIRC.MI,0.18707
2020-10-16,HOCM.L,0.10022
2020-10-19,PIRC.MI,0.18421
2020-10-21,HOCM.L,0.10133
2020-10-22,HOCM.L,0.10144
2020-10-23,PIRC.MI,0.18707
2020-10-26,PIRC.MI,0.18729
2020-10-28,PIRC.MI,0.18657
2020-10-30,PIRC.MI,0.18671
2020-11-04,PIRC.MI,0.18386
2020-11-06,VATN.S,7.2745
2020-11-09,VATN.S,7.357
2020-11-11,HOCM.L,0.10367
2020-11-12,PIRC.MI,0.1815
2020-11-13,VATN.S,7.442
2020-11-16,PIRC.MI,0.17771
2020-11-20,HOCM.L,0.10478
2020-11-23,PIRC.MI,0.17629
2020-11-23,HOCM.L,0.10756
2020-11-24,HOCM.L,0.10633
2020-12-03,PIRC.MI,0.17743
2020-12-08,BFT.WA,-21.0
2020-12-09,VATN.S,7.482
2020-12-09,VATN.S,7.62
2020-12-10,HOCM.L,0.10256
2020-12-18,HOCM.L,0.10033
2020-12-27,PIRC.MI,0.17954
2021-01-05,PIRC.MI,0.17743
2021-01-06,HOCM.L,0.09922
2021-01-08,PIRC.MI,0.18339
2021-01-11,HOCM.L,0.10033
2021-01-13,BFT.WA,-26.6
2021-01-14,HOCM.L,0.09811
2021-01-20,HOCM.L,0.09267
2021-01-21,HOCM.L,0.09167
2021-01-24,BFT.WA,14.9
2021-01-24,BFT.WA,-26.6
2021-01-25,PIRC.MI,0.18415
2021-02-03,HOCM.L,0.08833
2021-02-04,PIRC.MI,0.1875
2021-02-05,HOCM.L,0.085
2021-02-08,HOCM.L,0.08278
2021-02-12,PIRC.MI,0.19982
2021-02-12,VATN.S,7.645
2021-02-15,VATN.S,7.68
